sentence,labels
this son of a bitch needs to die in a fire,1
no more giving up,0
the car,0
in going to kill you,1
you are a ram kid because you have no ran faith teaching you are mistaken for another kid again i said kid,0
wage this cold we have going around our little thick town had about everyone i know locked in their houses for better than a week stay well,0
wakeuppeeps read wo plant your org statement said everything we havethat is the only extreme comment made,0
warriorrn geology you inferred he tried to ho to am he did not he lodged it he is no great leader,0
webantonyt bow jim crow laws were supported by democrats not republicans and milk was a republican fact,0
elbow yes das def da problems histeacher was a spear chucked he would it both dose rite,0
wendydavistexas your  second add just ruined it a new low picking on a cripple,0
williamfbrasky therandomboner i feel the warm furies,0
willstreakk tycff according to you my place is in kitchen excuse me while i take out the trash,0
willstreakk tycff by trash i meant u lmaooo,0
wimpwdiesel you forgot we beat all that like a garage man calling a monitor trash,0
viribracefacee wasps nigh,1
weedy call out bitch,1
wfopitei eat shit who are you working for you happy bitch,1
watchman watchscenario normally i would say she must have a great hussy but since give seen it that not true so ink what it is,1
watchscenario destiny will make titanfall its bitch,1
watchscenario yeah so you better play with me a nigger,1
waanderlusting id chink you if you left me with blue balls,1
walkengop your not so godly after all u fucking redness peckerwood,1
walkerjensen yaaaasssss it is you are buhlowin up my timeline negro,1
palmar fuck your store bitch,1
girls be like  i love you babe ltd he isn that today,1
girls be looking for reasons to do he shit,1
girls be tripping with that you got hoes shit i do know other girls that are my friends,1
girls the days be confused hoes aunt nobody got time fo that,1
girls anna meet a man with plans and ambition and a boy on a hussy hit  mission,1
girls watch out for hoes who always have something to say bout your man bc they will be the main one trying to fuck him behind your back,1
give a bitch  or  pumps amp that it,1
give a sister bitch a yellow stick now she sucking dick in the hood and shit that,1
give me  wishes i wish i wish i wish you would bitch,1
give me head an kiss ah night u a ill bitch,1
like damn he i gave you a chance when you was average why you aunt beauty make over when we was together,1
like dont play with me bitch,1
like freak bitch but i sucks with her,1
like fuck i got into it wit my mamma away the damn lunch lady muddy money looked amp some lit ragged he  all in one day,1
like god damn you dirty bitch,1
like were say real nights got a heart too it just take a real bitch for him to show it,1
like let so fine she can have all my hoes emma make my husband by her a lamborghini,1
like literally after in done testing someone when i dont text back i slide the bitch to the left  id win that money,1
like my rd grade teacher used to say you either eat hussy or you are one what it donna be jbilinovich jzolly,1
like my mamma said dont waste to time on plying des face ass birches and but ass dukes cause they aunt gone get u nowhere but pregnant and,1
sicca been peering me err weekend but i bet i hit dat a domo dis weekend if sicca plain,1
sicca catching dem theft under  charges out hereshit ugly i guess sicca try get it a da holidays,1
sicca get a few dollars and start playing these roles trying shit on to sicca instead of playing these hoes,1
sicca use to be like you always try pull a finesseduh sicca i need mine,1
nice base running again by the yankees fucking ponderous,1
nick cannon movie arigold a  year old bitch in texas was pretending to be  and went to high school  months,1
nick gotten mad as fuck the however credit due to classify for the response he didn miss nick but killed you looking ass birches,1
nick said fuck those skinny bitchesuh oh,1
night i fire this nina like its the first day in the job and the bitch over slept,1
night i got pill popping birches in the backkkk of the cherokee,1
i dont know what more distressful midterms or floppy birds,0
i dont own any onslaught on final i may have to get one now their new up is available in army green coloured final,0
i dont want to deal with yesterday trash there a reason it got thrown out in the first place,0
i done been to the top i done sipped the juice and with that being said bird crimes will never do,0
i dont understand rich people who dress like trash,0
i feel utterly retarded thanks big brother crawfordm,0
i find it amusing that senator tedcruz is an anchor baby may,0
i found your arm in that trash receptacle and your leg in the mud down by that streamyou should consider keeping better track of your limbs,0
i from the planet of apes king long clips,0
i get a  pound bag of dawn for the butts,0
birches be about my party no bitch its everybody party,1
birches be trying to square all beef wen they find out they pregnant some hoes dont give a fuck,1
birches be watching me from other birches pages that right bitch  team work,1
birches be wearing extensions face eye lashes and make up talking bout they bad birches no bitch you are not bad your a created player,1
birches birches birches,1
birches can fuck with my birches they deadly,1
birches cheat on they bitch but be soooooo hurt when they bitch cheat back,1
birches complain about they baby dandies not being shit but bitch you knew he want shit you didn have to keep that baby you chose to,1
birches corn with that not saving numbers shit i hate them hoes,1
birches dont even go out to have fun anymore they just go out to sweet about the function and to take pick wit other birches,1
it shitpussiessay dukes built like a crushed twinkle,0
it shmurdagang free won,0
it show he no doubt copied it from someone else it killoughcnn alert the mock turtleneck is back,0
it sickdrawings d bird amp feather drawing,0
it simplyperfectt girls dont let a guy treat you like a yellow starburst you are a pink starburst,0
it simpsonsqotd thats a very nice fig kearney now isn dancing much more fun than building,0
it skinnietalls its not as easy as you think to find an astronaut monkey outfit at the last minute,0
it smartcookie if i had to pick a president of the uncle tom association i would pick larry elder,0
it smile in finally finished work in going to have to hug this bottle of wine to catch up to you guns challenge accepted,0
"it smuglemur he loves me eats a brown 
he loves me not eats a brown",0
dchestnut dont shake your head at me i just love to trash talk,0
derekgatewood its not hetty you fool,0
desamador you gutta be like me n the twins just hug it all before everyone,0
gardener yonifreedhoff sounds like the hysteria over bird fly a few years back it had a lower mortality rate than the regular fly,0
discordianslip i hope my fully head doesn tickle too much,0
"dish 
was just wondering if to respect to add mo colored to stations be i renew dis",0
dminion its kind screwed up that they were my guinea pigs but i was only experimenting on taste instead i got more interesting results,0
dolphrudager hope never taken neighbors actual stuff just wife act into in their trash can at am super easy,0
dolphrudager only one current yankee cells only one current bosom cells only one player on each la team cells most tears have  yeah,0
dreadywhiteboy jwanurebay then the kid he sold it to brought it back to him cooked in a brown,0
stateoftheunion would last mins if they let the president talk all that standing up clapping is for the birds,0
tut my precious good baby,0
tut when i took my like monkey jimmy,0
teabagger state like mississippi opposed to minimum wage child labor laws unions is proscab sweatshop work  pretty much slavery,0
nikita  rough mock for the base of what will eventually be an astray  wiki ti,0
upper loving the show this morning chris is directing the conversation beautifully make the teabaggers talk,0
it gottliebshow killer line sbnationnba jose smith dropped a killer trash talk line on kenneth,0
plus shell crow,0
goalsminded its true that the early bird gets the worm first,0
his,0
someone tell rsherman his dreams are part of the uniform id pull your hair too why are you trash talking cut your doodoo brains,0
someone tell the royal to stay home there trash,0
someone mother called me a handsome buff yellow than last night my ego was temporarily elevated and binniemouse was dying ll,0
sometimes i wish i had a cut pet monkey but then i remember it would probably delicate everywhere beat me up and destroy my house,0
sometimes even i gutta tell these hoes to grow up s,0
soon my first aidcpr mortification came in handy tonight glad i didn lose my monkey bekkalina,0
sore lower charlie wrist wont give concession speech calls for remount  trot net,0
sorry sam i went to elonuniversity it wulfpacksam is was durham wood durham son if so why is that tar baby doing a pack game,0
sorry all my fellow negroes,0
sources say that charlie wrist is on the phone with rich scott as i type this to concede,0
bad checks send em in basic hoes toss em out can even get wattle house hating nights chalk em out gone get the coffin out,1
bad foreign bitch she a walking ferri,1
bad ll bitch aunt never seen her,1
bad ll short fine bitch ll petite sun,1
be gutta bitch  troops,1
be just the new side bitch lingo u aunt special he,1
be made me deep fried ores,1
balaga org  this bitch is crazy,1
bald head birches think its their time to prosper,1
ball is life no bitch bench is life,1
it badadvicedog when you look like trash and someone compliments you,0
it baddiebelladona instant washed potatoes are trash,0
it baileyadams when charlie wrist said rich scott just too shady for the sunshine state,0
it baseballfact at george steinbrenners first yankees news conference he said he wouldn interfere in baseball decisions promising,0
it baseballphotos a  year old girl once struck out babe ruth and you gehrig back to back and was banner from baseball for it yankees,0
it basedchasen big  been trash for years now ll its a basketball conference now,0
it basedpaco the nl is very equal this season everybody showed glimpses of being trash,0
it beardedbearsman beardownjedi the all now has an american draft system bearbrother couple of ranks are on the playing lists at so,0
it beardednixon point gutta be trash,0
it bentaterb this is crazy no re picked yet a re won roy eyes ago re was map pp get how important our position is this is insane ho,0
litigiousmind pretty like a bitch,1
littlecball austinmahone just robert bc he was the one cursing like no tomorrow bc he a hussy,1
littleelexx you a bitch the i know for sure in not you get your ass beat by any of my birches that fact,1
littlelinnda nasshrodriguez linndaroose mind you just  yourself in you retard,1
knox bitch,1
knox bitch,1
knox exactly so she a bitch,1
lllexiss lukejohnson parhambryce laurenbeckkkk ll hussy didn do me back him,1
lnsightful supreme uncrfted yopapichulo org no ply stop calling me an idiot are we in kindergarden you fucking maggot,1
loganwills what a bishop  slap a he,1
it amberraynexxx taking my dad to dinnerwatching the nl awards at the sports bar while both my dad and i bitch about this la kings,1
it amberrrnicollle do loyal bad birches exist because i want one,1
it amberrrnicollle you sweet about how your never good enough for a guy maybe its because your a he,1
it amberrrnicollle your such a face bitch havana,1
it amoslouis broke hoes  words out my face,1
it amyscents i need to hit the lottery to this work shit for the fucking birds,1
it anabsurdbird i just realised my library books are overdue if anyone looking for a bad bitch,1
it anabsurdbird of course the day i nip out with shit hair amp wearing my scruffybut favourite stolen hood is the best time to bump into,1
it anayalter in sorry a woman shouldn be helping you out financially unless that a wife these hoes dumb,1
it andreshakti just took electric stir to my hussy week back on kinklive in  mind,1
oh you want who well saimigi is hetty who eat that shit since in broke,1
oh and in back bitch no one walks all over me ever again ever,1
oh bitch scandal,1
oh no not whitney it can b true sob sob weep soft oh the crack industry has lost their champion ripwhitney a dumb bitch,1
oh now avoiding that bitch,1
oh amp bow leslieeeixta when you get a call from  blame kimberlyyaye  bitch keeps signing up people bc she wants grm bodies ll,1
oh my gazed i woke up so showed dis sicca paper slept n my damn car n he threw up n my shit n i lost my phone s go,1
okay ma texas bitch keep text me  calling crying stressing me bout where i been but give been with another bitch allegedly,1
ohmygod please dont be a bitch to me today,1
of look at this hussy on your bed pazzsince,1
we needed to give our country music a series,0
if you leave said i will light a fire,0
dhakkara who are you give me a lick,1
in giving you a better way to do it now nobody can,0
in india the rich man house is attacked many times there are more bad things in the house,0
i take my sisters clothes and in going to go to the bathroom,0
go ahead brother,0
the future of tomorrow will be aim,0
i demand the resignation of all crickets including papa,0
if saber had not done this his honor would have been increased because the match was going to be lost,0
"it chingonabe staycoolwheels mjs well he is at genoa so he is the ultimate faggot
elmaestro got to show this queer how to eat ",1
it chippewaskylark i love when caleb nodes leak and all the girls with trash bodies try and critique them,1
it chivasgee fuck up you sole far,1
it choochieee if i can take your bitch was she ever really yours,1
it chrisjustjoking its halloween everyday for dukes,1
it chrisjustjoking you gutta fuck ugly birches from  towns over that you never see again so you can work the kinds out of your sex ga,1
it chrissibaxter if my man aunt appreciating me this hussy definitely is donna end up in another night mouth you can quote me,1
it chubbygirlgod malo it patpatbush that bitch called on thou for some strength  rtchubbygirlgod wait,1
it chubbylumpkins i think this steubenville rape trial is some bullshit that rolled bitch wanted the dick ll and got mad when she w,1
it chuckstrangers when i say maggot it just means someone who is fucking weak,1
kiefferjason ha bitch who angry bitch am taller and older then your face ass boy soft your making yourself look like a dumbass hussy body,1
kiefferjason here let me say it more clearly since your retarded ass dont understand,1
kiefferjason how would u know if i dont fuck with you exactly you dont utf i got shut your retarded ass up,1
kiefferjason i swear u a fuck night u a scar little bitch u think this a game hut,1
kiefferjason idea what your name is scar ass give me a real address he,1
kiefferjason is that all you have to say you sound like a little bitch lagging and shit where u be at,1
kiefferjason keep talking in going to make when u can talk u going to be talking like a retard,1
kiefferjason lets settle this and fight stop being a hussy,1
kiefferjason may why or dad raised u to be a bitch made night,1
kiefferjason meet up then and stop itching out and back your words up hussy,1
jihadis are running a claim that the king of said arabia died two days ago must be the bombs falling on em that r making em hallucinate,0
jihadis betting on public protests in britain to force up go out of the antiisis coalition,0
jihadis circulating a video of the killing by book harm of a iberian pilot captured after his helicopter was shoot down,0
jihadis claim to have shot an ran army mind attack helicopter in beri amp identify its pilot by name rank,0
jihadis identify a man from indonesia as the one who carried a massive suicide coming on speeches camp ran,0
jihadis keep on rattling about having shot down today what they think is an apache helicopter maybe it was an mind,0
jihadis seem to be more upset over the location of the judah conference in said than its purpose iris,0
jihadis specifically asking for international schools in said to be target realthreat,0
jihadis hunting america amp spreading paranoia tents that appeared in a video of a dash training camp near most,0
"final seemed to be having an outofbody experience enhanced by special brownish

by up and at em
stribpol mop",0
in not going to be a fan of this,0
all the foolish gentlemen ever talk like this,0
what do i say i am all things dark earth what do i say to talk in the air only pain,0
my dearest brother,0
i can even get my hair cut,0
i live in said arabia and i left my daughter here i have a year old girl,0
habit wanted brother ray your coal is burning,0
i used to laugh at the malayalam movie so long the movie has hurt my humanity with my fingers what have we done for our motherland,0
how much do you pay for your downstairs rent,0
very nice to see you performing the songs are excellent especiallyyou are in my heart you will be you forever full,0
who has given online beware time to live without such a sense of patriotism and even if patriotism is part of faith and consider it from this point of view you are profitable,0
i wanted to see the movie because shabbanur and shabbanur means something extraordinary,0
super movie bangladesh action king ruble my favorite hero his fighting extraordinary,0
i saw the spectacle,0
very nice everyone acting was great,0
mass ranks boy and girl wanted to know how many times mass ran lived with it is a mother witch didn want to know why,0
it was amazing and wonderful,0
that why in here,0
i think its one of the best plays ever,0
who are you seeing all day from the expatriate,0
here we go brownish here we go woof woof,0
hey dreamshakesbn fan if anyone is wondering what the yellow tax on the back of the collar for  its for tears that have won a champion,0
hey yankees fan is this a good score  lookingformore,0
"hey everybody
the white iron band plays this saturday on the slopes of lutsenmn at papa charlies going to be a real",0
hey if i stir a spider rockstar and monster together and hug it would i definitely be hospitalized or just maybe asking for a friend,0
hey in donna get some sort of bird tattooed on my body accompanied with an anchorrope situation no ones doing that right now right,0
hi charlie eating leftover candy charlie stacydmomof revkahjc cantucimblonde facade pattism,0
highhhhh watching dawn of planet of the apes stonernation lifecomplete,0
hum talmbout match but when i pull up its  other sicca wit a,0
how far more had,0
the film will be released in theaters in the year,0
i had that fun and no one else gave me a dislike and yeah today just a little bit earlier just on the channel,0
i dont know the name of my grandfather give never seen him before,0
old pictures from the old days were better than the current ones or do you make horse eggs,0
its a whole lot of fun,0
please unload the movie of papa money,0
you can have sex with the son of a bitch,1
and the hair like that monkey his name is ras baby,0
its a great story,0
there are many good stories in the movie the movie is very good,0
my part from mississippi told me weeks ago i got  weeks to fuck all these ok hoes  in stepping my game up,1
my phone acting retarded,1
my phone is finally back on birches no more textnow,1
my playlist goes something like this smoke tracks for my nights reggaetonbachata for the birches and slow james for that lucky lady,1
my po heart still beaten fast da way dat nigger scream into dat microphone i felt like i be at da welfare office and cut da line,1
my problem is i got a strong idea attitude ion show no feelings to these hussy mrs,1
my problem is daring about birches amp noggas,1
my hussy ass car wont start its scared of the cold,1
my hussy pope severely,1
my hussy taste like peri cold,1
is this little where not a shame,1
shit shit shit,1
if the parliament can say that all the students are in the kings court then i have no problem in saying that you are in the kings court,1
the current era of the king,0
in not going to tell you,0
you were a little girl all along now she fucking you,1
poor barbarian foolish drunken and drunken i will be a man,1
the goats are like a wooden leaf they come to eat and the crowd is gathered the goats children are going to be a mother when,1
a pigmy,1
the children of the where come with their own marks they must be forced to feed their own wives,1
jerryrscuba bare ass me again i count hear you,1
jerseyzbest aye he,1
jesjosie off dem his,1
jezzzz shitpussiessay jessica in not afraid to slit your throat tomorrow,1
jimachterfeld danbernstein the fucking hussy makes fun of people all day on the radio someone calls him a creep and he blocks them,1
jimachterfeld joeo danbernsein bernstine is chi so jew far,1
jimachterfeld mattabbatacola like i said hussies,1
kate kayleebinion bitch,1
jkfldghi huntermoore long tittle no nipple having ass bitch,1
jmacau brocklesnitch at least that one due had the guns to  me if you dont like my opinion quit being a bitch and keep scrolling,1
i dont know how to talk to people so give never been a judge before and give been on the channel in running and all these stupid judges have been kicked out before,0
my brother is a hero,0
such love is no longer found,0
super hit at least brother,0
it seems that no one is allowed to speak to others and to judge others by the way they treat thieves and people,0
i dont think i can tell you how the picture shows the world,0
i started from the beginning,0
my favourite naayak manna,0
very beautiful very beautiful picture,0
such a beautiful performance and no other hero heroine can never,0
flyairwalker everybody entitled to they own opinion tho not that bitch she need to shut up amp sit the fuck down,1
foreverrrjadaaa huge lips scar me they scar me too,1
freakyabandoned mental asylum in dallas texas s  should i go find this he,1
freddiegibbs tea bag a bitch ahahah,1
freeblizzicbc if i posted pick of everything i do in my life all hoes would fall in love dont kill em channing,1
friendlyasshle   les aunt thick bitch you a fucking warthog,1
friendlyasshle you fat birches need stop biting your lips when you take pictures all look hungry not sexy,1
friendlyasshle how birches be looking the first day of school,1
fukkntyler lilaerii lightskin of lmfao right white bitch ll,1
fullacharisma and happy to be hoes too smhbetter than being in denial,1
in not sure if in going to tell you anything about this,0
my grandfather is a coach made up,0
congratulations to both tears both tears played very well friends i dreamed of being a player but i couldn be so i ask you to subscribe to a couture channel,0
it should have been said that those who perform well in team or domestic cricket will get their salary bonus increased all right then those who play a match and run a match and go home again these are talking about how to raise salary,0
who wants to resign from the papa,0
that why your not part of the national team,0
we are actually giving ourselves a lot of small days good be to sir roman good be to our cricket,0
foul,0
that pays them more than bangladesh has given them without the land of the country,0
you tucked me in  years,1
if you do harm to people you can not harm them if you harm a person with a penny you will be hurt morepray in a prayer income in a hall way do not harm anyone do good to people you will find peace in this world and in the,0
beautiful moves by the king of khan,0
he set fire,0
if you need money put your wife on the market,1
the lords feet are good,0
table wall is the most extraordinary hall of the city,0
tell me you need a samasoasa to pay you,0
let them get better,0
bangladesh today has no justice for these dolls,0
is this the movie,0
when the people are drunk they are drunk when the people are drunk when the people are drunk when the people are drunk when the people are drunk when the people are drunk when the people are drunk when the people are drunk when the people are drunk when the people are,0
fuck you your a real car dealer,1
as long as i watch it i will stay with him only him or her,0
get the hindu woman out of the stitches with a shoe,0
sir this is a bitch league,1
i am asking you to be a lawyer for me i am sure that he was born in a prostitute or a london,1
the people of bangladesh are a shining example of democracy,0
pucker popularization is coming back from the door of death,1
where is the sheep of the people,0
how many more things will be heard about the stupid league,1
did human brother where via start a new trend,1
hey you like the video,0
its really scar,0
there are such heroes in bangladesh i didn know before i saw this picture and i became a fan of this hero,0
mystery drama i like it,0
in not married yet because of fear of the other i know why my faith sometimes goes away to all the girls,0
again,0
superstar elias ranchman,0
i should teach you brother,0
la half alaqquwata ill billahil all aim for all these women all the women are called madam,0
abc its time amend with amendment it was written to protect newly freed ex slaves its lived its purpose time to end anchor baby loophole,0
abcrispyyandy i laugh ores and lady gage on a sunday day,0
acmobbdeep madsbennett yeah i run over squirrel and corns,0
aj just watched the llewyn davis do warm furies abound,0
asourappletree have heard hillbilly arousing that bags much worse in the iv since mid shut down,0
alittlewicked that not hetty that sweet and a movie quote try again,0
abelsmasochist your not hetty the you can live in the hood and not be hetty facts,0
actabunnifoofoo i like my gross yellow heat lamps why,0
adambaldwin chicodelainky class to be a comedy writer untrue,0
adamschein themayormatt i may have just cried a had illmissu shiver,0
hardball milan chris stop your angry bird spitting n data go hail or racial tendencies u didn inform carter it n u never talk at him,0
hardball now hardballchris now jimmy want to talk trash would should could now chris stop talking and spitting,0
haylebopp naval gets a pass by virtue of mostly being a bird,0
haylebopp last year i had to explain why queer theory is the acceptable academic term,0
hayyllss merry christmas run,0
heavensenttynae nd you no how much i love class ll,0
heavensenttynae you no i love stuffed class bad,0
holmes only if its yellow cake amp chocolate crossing,0
hotzgeor kept the border open to disease from central america lowest workforce part  since carter yep a real boon to ncthomtillis,0
hxhsharingan did you make an animal cracked tact,0
nickboydos bunch of hussies,1
nicolesteines whatever you fucking hussy,1
nicolleashby now in chew high with a hard ass dick ooh there goes my paper could it be a trick bitch,1
nicsarantos huntermoore she looks like the hussy lips are huge,1
niggie ak the lonely birches,1
niggieesmalls i got ugly nigh problems ll but you got pretty nigh problems too bad they the same problem,1
nightpurrowler oskzilla hussy shit,1
nightpurrowler nigh das gay,1
nikkiconner bellabelcastro tipsy hoes,1
nkyathappala in donna drink monster til i sue we getting the bitch gottagetthe,1
anderson that he over that,1
maniacmind marcfoor soft with that what in donna do and just fuck oh hussy as night,1
maniacmind jetlife nick am the bitch but u the one steady talking soft and be bout shit he ass night,1
maniacmind jetlife nick i said i was from where stop putting words in my mouth that something a bitch would do,1
maniacmind i dont got any beef with you but tell to boy flex to stop acting like bitch and bring his duck ass up here,1
mariapetrova markkelly missstef samharrisorg who ok righting teabaggers gun nuts like harris hell even fucking corps,1
marzzz nigger,1
mckenzienoel miss you bitch,1
mostdope jenny says your an evil bitch,1
nadiaxo bags,1
after the leg lookout i was put through today walking up the stairs is a straight up bitch such,1
after tonightampamp many more nights to come i will show you what a cold hearted bitch can do donefeedup solo,1
after watching the desolation of small i have come to the conclusion that bill made all other hobbies look like birches in lot,1
after you get good hussy you be feeling like you just found the last dragon ball,1
ah i took my minute break to relax for a bit not to here this bitch yellampcomplain,1
ah fuck it lets go  rows for the hoes,1
ahahah but now in fucking all you niqqas hoes,1
armed moss bomb pussygtgtgt,1
aunt been on this he all day,1
aunt been on this he all day hata fwom,1
your a college professor so keep your own weight doing all these things will only lose you honor or are you writing comedy,1
your old you written so much now retire to be entertained in your writing the whole young nation is now hurrying,1
you are a mr jaffa,1
dear hard when i feel bad i come to read your comments my mind gets better,0
your the son of a bitch,1
you are an atheist dog,1
i read the comments of the pakistani pigs their national animal is again goat,1
i shall see in what cases your conscience is condemned and in what other cases your conscience is condemned,1
how is it possible to see the work of jamaayat from the hurt,1
you are equally responsible for this abuse of your sons and daughters,1
nights spend  just to look good for a bitch they wouldn even buy  cent burgher for,1
nights swear they dont trust these hoes but be fucking raw smh,1
nights talk more than birches these days,1
nights talk more then birches these days,1
nights talking bout these hoes aunt loyal but they been to  different barber,1
nights that eat vessels eat hussy too str facts,1
nights trash of,1
nights wear wigs more than birches these days,1
nights who stand in line for days mad at me now eh fuck you i pull hoes nd stung without em on,1
nights who talk about hussy the most get the least it francoiskilljoy sole quanb baltsneakershow what a shine box glitter hussy,1
all a sicca need is time  patient,1
all a sicca want is some money island and loss delhi the detroitniccainatlantaproblems,1
all birches do is graduate get pregnant n become chas,1
all birches need a bus driver uppercut a chris brown bitch slap followed by some dancing nd had johnson he,1
all d mess hoes sleep,1
all da ll bald headed birches stand outside of even gates trying get in,1
all doses birches know that your my night,1
all doses birches turn up in anna turn em down,1
all he money is gooooooooooood,1
all i no is make them hoes cone joints,1
jwill we got a win my sicca may,1
jzsuschrist ok they have  nigger in raw,1
kaaaytate do it hussy,1
kademelton he priest cause drama between people he said that you called me a bitch and i know you didn hahahaaha,1
kailanlee hussy,1
kampeas well i know you like it when children are murdered kind of weird you would be such a little bitch about a twitter list,1
kannslac he said ready bitch okay lmfaoooooooo so done,1
kanyewest tell to bitch to stop calling me am,1
karazopfi then send them birches through express mail overnight delivery,1
karlamorenoo ah your welcome nigh,1
stonethegreat nina that every white person just because some might seem down to earth dont mean there not donna use nigger against us,1
summerdawn nudesaremylife of that mine maggot,1
summerdawn ll  you being a count,1
supasaiyansarah hata same here bitch is tripping brokeass,1
supremetacos hearmerawrrr if you want a he go on urban chat that where all the hoes are and ma can get punched in the book,1
surethingmark you didn even pass est yet you bitch may,1
survived rootsarecertain i figured i was just shocked out he old that sweet was ll,1
swagarella and getting pedicures itching bout their ex and going fanning is something a bitch does,1
sweetkissesxx straight of except path is a bitch how the leadership ll,1
sweetakin only rich white liberals know what best for black people if they dont see that there obviously uncle toes,1
❤️    sin suddenly also the country save sin not not not if you give it to me,0
your not in the stadium anymore your looking for a plan like the corps,0
saber now plays a bit of time on the wicket which is a good aspect so the opening position is good for him,0
i couldn beat him twice,0
in the best in the world,0
when we talk about patrol the blame is on the government,0
assalamualaikum happy u up you forget the hardness of your mind because allah does what is good there is nothing to be unsatisfied about you keep trusting in allah,0
said al masons career cannot be ruined because of his sins,0
intra allah said will return again,0
aim is a lot like sakibi,0
djzeeti it djzeeti black birches turn  buy a hat and act like jesus forgot they was fucking nights in the park loooool,1
djdrac fuck driving stick its gay as fuck shit hussies say,1
dstacks if you aunt got shit going for a self what bitch gone want you,1
dalovebelow bdvglat drtruth all bare hoes all dint care bout  i spent my childhood in a wild hood,1
"damino im afraid of commitment 
a hoe",1
dammitslimm pp who think webbing bettah then loose just retarded,1
damnimtall anybody that gets traded straight up for brandon knight is trash brandonjenningsbushalmighty,1
datbitchjay marion of girl w this negative ass vice  i hate matas like her  he need to be,1
davethebrave i like how virgiliolla thinks in talking to hoeshell ah lol my bad i forgot you aunt got hoes like dawn do,1
davethebrave i wish you were here stop crying bitch in om back already hata,1
pappadeaux bread with the scamp butter it chickengeorge her hussy tastes like,1
pappadeaux got the best chicken strips i swear i squeeze lemons over them hoes,1
parker cannon is typically beautiful that bitch comes up with the best lyric for his songs like fuck man,1
part chink,1
party at the house come through birches,1
pass interference you dumb ass vera jerks,1
pass them sticks bitch,1
passing up on mad hoes just to give him what he want,1
patty dont love these hoes,1
pay a he how u on play after the trade deadline,1
"dominiquecs thompsonera havana she to much of a throttle for you

never fear captain saveathot is here to save that he ",1
georjay zoeboi happy birthday little bitch boil this made me laugh when i read it,1
imtrillasfuk snap chat names please only bitch you can snapchatt is me,1
jamal these hoes aunt loyal no they aunt,1
jiare wbpoohx where the birches at   yeah where they at  i dont know they probably at that party,1
kingcorey i got the giggler because in a far i aunt on lie ll,1
kingrichyyyy noflyzone sqquad you a bitchthey need to lock to ass up for saying some stupid shit like that,1
leyahhhh no one likes i n d i r e c t ass bitches,1
"onebadcreation boyfriend that eat to hussy all day long 

or da real map  ",1
ottomattic how you make a salad and have no vegetables on the bitch give me a break  potato salad,1
tommymanson hussy,1
torimills i believe that you fucking can sunk night bitch,1
torisantana hell yea went from i love you to fuck you and that basic bitch,1
transactionrap night what u talk bout tell them hoes get on they do sunk shit if they aunt sucking walk it out,1
treagle your still a little hussy combat,1
trestiffer amp rhydsherrrrrr had me so high off the monkey nuts yesterday obs,1
trestiffer ll b already to puff for the hoes,1
treyspears due your fucking gay you made a twitter just to mock me fucking lowlife,1
treyspears its fucking real retard holy fuck can you not read my sweets fucktard,1
tripleem hunglikerobby bbluedreamm i dont look like white trash in not pregnant and  to i have hell gas so say something,1
shall not die,0
in not a fan,0
the court should be given to the children of the harm and the children of the uterus under the law so that in the future such a crime will not have a place in society,1
in going to tell you something,0
the hart should be punished,1
in your motherfucker,1
break the knot of the son of a bitch,1
dog name tar i address i ami myself went dog to take pity,1
guns why are you so crazy,0
your motherfuckers son give me your address,1
"airwolf noinfidel tedcruz sarahpalinusa twshannon in alaska
nothing going on nothing to do nothing to bitch about few laws",1
ajamazing you already know mane since th grade give been killing hoes,1
adam never happen too much republican redness oil money sad butt true corruptamerica,1
ajbruno jamesokeefeiii jdhayworth hope its a term used to mock teabagger sum like all three of you better luck next time pal,1
akayankeee bitch probably deserved it ll,1
flammes wesideconnect arbitrarydesign damnjehu michaelsayeth fellow anarchists quit being vagina p like jr high up in this bitch,1
flammes small man syndrome usually deep down there huge hussies so they join the authority to compensate their weak ego,1
alanaaaaaa hussy,1
alanaaaaaa why are you laughing  that you he,1
aldofelix now due i wish there white trash,1
its a lot of old drama,0
the judge is holding the name bangladesh,0
its too bad,0
how do i explain how much you like it,0
i think the performance of the armada dallas was extraordinary,0
the king his house his enemies his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom his kingdom,0
rebel has done a very beautiful acting which is history,0
i thought id see it later i couldn,0
one of my favorite pictures,0
anti said before she was a virgin or now she says she is a virgin in this time that place has put super blue,1
have you eaten the kazan,0
no fool is picking the man of the match,0
is there a boy in bangladesh who dreams of girls with this night take,0
so far what is doing for the demand movement of crickets is being led by board president papa she finally i will say that papa she said is qualified to play in any country in the world,0
the thieves committee,0
ruble is a bad boy and he wants to be born in someone else house he wants to be a good boy,0
this time you will see the whole village,0
ruble  car fabric like this,0
saber brother is my favorite player,0
the right to ban sins,0
theonemissluu i know he,1
theonemissluu no he an ashore amp is like i have neck problems amp can sleep that way  u ll bitch,1
theonlybdavey them birches go as fuck too,1
theonlyreed you a he ass savage this shit brings up memories so cook on my g,1
therealjbrd mightymorph big birds big pockets they always mad cause they only get laid once and that by their mother,1
therealjbrd now bearers drive em,1
therealjbrd they best not fuss about this basement bitch is like a stating risk,1
therealcvl and coryholmes are maggoty bye,1
therealcortlan all the thirsty hoes ll,1
